event_id,lot_id,license_plate,event_type,event_timestamp,amount_charged,payment_method,camera_id
EVT_11926,LOT_SF_01,SA154HB,EXIT,2024-02-09 01:10:51,,web,CAM_LOT_SF_01_04
EVT_13693,LOT_SF_02,CC947AS,ENTRY,2024-01-28 17:14:02,,app,CAM_LOT_SF_02_01
EVT_10701,LOT_SF_03,BA499DL,ENTRY,2024-01-24 12:12:09,,text,CAM_LOT_SF_03_04
EVT_20067,LOT_SEA_01,CD266ZV,ENTRY,2024-03-01 12:17:43,,,CAM_LOT_SEA_01_04
EVT_08741,LOT_LA_01,PW816VG,ENTRY,2024-01-27 07:44:55,,Web,CAM_LOT_LA_01_04
EVT_09364,LOT_SF_03,RT189CH,EXIT,2024-02-04 17:32:43,39.37,,CAM_LOT_SF_03_03
EVT_10938,LOT_SF_02,AK754DE,EXIT,2024-02-22 13:05:56,6.64,web,CAM_LOT_SF_02_03
EVT_18836,LOT_LA_02,JN187FG,EXIT,2024-01-12 10:19:01,10.93,Web,CAM_LOT_LA_02_03
EVT_02955,LOT_SF_03,YN224KJ,ENTRY,2024-02-12 08:03:42,,APP,CAM_LOT_SF_03_03
EVT_03401,LOT_LA_03,NV658YF,ENTRY,2024-01-16 14:16:20,,APP,CAM_LOT_LA_03_04
EVT_15613,LOT_SEA_01,NS275EA,ENTRY,2024-01-07 11:49:49,,Web,CAM_LOT_SEA_01_03
EVT_21151,LOT_SEA_01,HK655JV,ENTRY,2024-03-20 09:26:17,,text,CAM_LOT_SEA_01_03
EVT_16472,LOT_SEA_02,RC551UU,EXIT,2024-02-21 12:57:07,18.76,app,CAM_LOT_SEA_02_01
EVT_07877,LOT_SF_02,UX015RH,ENTRY,2024-02-24 10:53:52,,APP,CAM_LOT_SF_02_02
EVT_01791,LOT_SF_03,FR756DU,ENTRY,2024-02-02 17:59:48,,app,CAM_LOT_SF_03_02
EVT_12008,LOT_LA_03,SC756LL,EXIT,2024-01-29 20:15:11,49.88,Web,CAM_LOT_LA_03_01
EVT_00405,LOT_SF_03,RD983XU,ENTRY,2024-02-10 13:44:51,,text,CAM_LOT_SF_03_04
EVT_17288,LOT_LA_03,DK770LG,EXIT,2024-02-15 20:59:02,20.22,app,CAM_LOT_LA_03_02
EVT_09264,LOT_SEA_01,FF078DC,EXIT,2024-03-10 15:41:18,38.08,app,CAM_LOT_SEA_01_01
EVT_17460,LOT_SF_01,FU801GY,EXIT,2024-01-13 21:52:18,114.24,app,CAM_LOT_SF_01_02
EVT_09330,LOT_SF_02,RF652RG,EXIT,2024-02-06 14:56:39,27.32,App,CAM_LOT_SF_02_04
EVT_07054,LOT_LA_02,YD656BK,EXIT,2024-01-21 17:13:46,48.7,text,CAM_LOT_LA_02_03
EVT_21259,LOT_SEA_02,NN683YF,ENTRY,2024-01-19 17:38:36,,Web,CAM_LOT_SEA_02_02
EVT_02858,LOT_SF_01,RX665AN,EXIT,2024-03-10 15:27:47,16.14,text,CAM_LOT_SF_01_03
EVT_17073,LOT_SEA_02,MF414AN,ENTRY,2024-01-28 11:04:23,,text,CAM_LOT_SEA_02_03
EVT_08094,LOT_LA_03,SE050PC,EXIT,2024-01-27 13:21:16,131.43,app,CAM_LOT_LA_03_02
EVT_07930,LOT_SF_02,WN910TY,EXIT,2024-02-23 19:51:20,23.95,App,CAM_LOT_SF_02_02
EVT_09884,LOT_SF_01,WX113YY,EXIT,2024-02-04 12:48:59,8.71,Web,CAM_LOT_SF_01_02
EVT_11180,LOT_SF_02,LD701NP,EXIT,2024-03-10 20:06:07,33.46,text,CAM_LOT_SF_02_01
EVT_07816,LOT_SF_02,RL254LV,EXIT,2024-02-04 02:50:00,71.52,,CAM_LOT_SF_02_04
EVT_12491,LOT_SEA_02,ZW407XA,ENTRY,2024-03-30 19:15:06,,Web,CAM_LOT_SEA_02_03
EVT_17021,LOT_SEA_01,HJ738EV,ENTRY,2024-01-19 13:58:32,,App,CAM_LOT_SEA_01_02
EVT_09093,LOT_SEA_01,MS790TE,ENTRY,2024-01-19 14:29:26,,web,CAM_LOT_SEA_01_01
EVT_12718,LOT_LA_03,NH840NN,EXIT,2024-02-11 15:18:37,113.67,App,CAM_LOT_LA_03_01
EVT_15644,LOT_SEA_02,ER985FZ,EXIT,2024-02-10 14:54:20,17.32,text,CAM_LOT_SEA_02_04
EVT_21986,LOT_SF_02,UW090YD,EXIT,2024-02-03 18:54:44,49.53,text,CAM_LOT_SF_02_04
EVT_06521,LOT_SF_01,WR848AY,ENTRY,2024-02-03 12:38:40,,,CAM_LOT_SF_01_02
EVT_13760,LOT_SEA_01,MD493PU,EXIT,2024-01-05 19:40:02,36.27,web,CAM_LOT_SEA_01_03
EVT_15136,LOT_SF_02,WR516DH,EXIT,2024-02-02 05:18:26,67.28,app,CAM_LOT_SF_02_04
EVT_16075,LOT_SF_02,ES136CD,ENTRY,2024-03-17 10:45:51,,Web,CAM_LOT_SF_02_03
EVT_03608,LOT_LA_02,PY234JL,EXIT,2024-02-05 16:48:24,61.37,Web,CAM_LOT_LA_02_03
EVT_08850,LOT_SEA_01,JU421WV,EXIT,2024-01-08 10:23:50,20.2,App,CAM_LOT_SEA_01_04
EVT_20108,LOT_SEA_02,YZ356MT,EXIT,2024-02-03 20:33:55,25.67,web,CAM_LOT_SEA_02_03
EVT_12910,LOT_SEA_01,GT721KT,EXIT,2024-02-21 09:00:43,2.53,app,CAM_LOT_SEA_01_02
EVT_02272,LOT_SF_03,HN349MS,EXIT,2024-02-18 20:38:03,55.17,web,CAM_LOT_SF_03_04
EVT_05541,LOT_SF_03,DF914EU,ENTRY,2024-02-25 16:56:29,,App,CAM_LOT_SF_03_04
EVT_10316,LOT_LA_03,UX547XS,EXIT,2024-03-30 21:46:56,,App,CAM_LOT_LA_03_04
EVT_14943,LOT_SEA_02,WL148KY,ENTRY,2024-01-09 10:07:53,,APP,CAM_LOT_SEA_02_03
EVT_24560,LOT_LA_03,ZV718ZR,EXIT,2024-02-22 22:49:57,21.69,,CAM_LOT_LA_03_03
EVT_02885,LOT_SF_03,MY561DB,ENTRY,2024-03-02 11:29:26,,,CAM_LOT_SF_03_02
EVT_23248,LOT_SEA_02,SC705UP,EXIT,2024-01-28 20:30:04,17.31,app,CAM_LOT_SEA_02_02
EVT_09803,LOT_SEA_01,UJ887XE,ENTRY,2024-02-25 12:09:33,,Web,CAM_LOT_SEA_01_04
EVT_01380,LOT_SF_03,AN562RE,EXIT,2024-02-25 18:50:29,33.94,web,CAM_LOT_SF_03_02
EVT_17071,LOT_SF_02,SL273MJ,ENTRY,2024-02-03 11:30:42,,web,CAM_LOT_SF_02_04
EVT_09823,LOT_LA_02,MP659HV,ENTRY,2024-02-19 09:12:30,,app,CAM_LOT_LA_02_01
EVT_05536,LOT_SEA_02,RM705WP,EXIT,2024-02-11 16:48:37,21.53,App,CAM_LOT_SEA_02_03
EVT_22750,LOT_LA_02,BU801WW,EXIT,2024-02-04 11:29:04,5.74,APP,CAM_LOT_LA_02_02
EVT_04038,LOT_LA_03,CN878JW,EXIT,2024-03-02 20:40:44,30.12,web,CAM_LOT_LA_03_03
EVT_18261,LOT_SF_01,JU947NV,ENTRY,2024-01-06 16:08:27,,app,CAM_LOT_SF_01_04
EVT_12379,LOT_LA_03,UT398EF,ENTRY,2024-01-04 18:51:25,,web,CAM_LOT_LA_03_04
EVT_12798,LOT_SEA_02,CN060RC,EXIT,2024-03-14 13:05:12,10.02,Web,CAM_LOT_SEA_02_02
EVT_03238,LOT_SF_01,RC906LW,EXIT,2024-01-28 15:30:45,,app,CAM_LOT_SF_01_02
EVT_18515,LOT_SEA_01,ZS914MP,ENTRY,2024-03-31 10:18:27,,app,CAM_LOT_SEA_01_03
EVT_12427,LOT_LA_03,WA604TB,ENTRY,2024-01-26 13:42:42,,app,CAM_LOT_LA_03_04
EVT_19518,LOT_SEA_02,ZZ998FR,EXIT,2024-01-27 18:13:11,,text,CAM_LOT_SEA_02_02
EVT_16737,LOT_LA_02,GA107XD,ENTRY,2024-02-15 12:15:13,,text,CAM_LOT_LA_02_04
EVT_10257,LOT_SEA_02,SZ301JS,ENTRY,2024-03-16 08:35:15,,App,CAM_LOT_SEA_02_04
EVT_23214,LOT_SF_03,UU924CK,EXIT,2024-01-21 14:09:57,16.44,app,CAM_LOT_SF_03_04
EVT_17429,LOT_SEA_01,NW849BF,ENTRY,2024-03-07 12:45:37,,App,CAM_LOT_SEA_01_03
EVT_02077,LOT_LA_01,RK485RA,ENTRY,2024-01-21 13:19:14,,App,CAM_LOT_LA_01_04
EVT_14603,LOT_SEA_02,KX353GK,ENTRY,2024-02-11 09:23:38,,app,CAM_LOT_SEA_02_03
EVT_00762,LOT_SF_03,TD412JR,EXIT,2024-03-23 22:40:23,117.13,App,CAM_LOT_SF_03_02
EVT_10744,LOT_SF_02,FD506XJ,EXIT,2024-01-09 12:31:29,5.3,APP,CAM_LOT_SF_02_02
EVT_06056,LOT_SF_02,GL925ZL,EXIT,2024-01-26 11:44:59,14.07,web,CAM_LOT_SF_02_01
EVT_08785,LOT_SF_02,NC744LC,ENTRY,2024-02-05 10:33:48,,App,CAM_LOT_SF_02_03
EVT_15732,LOT_LA_02,VX177TM,EXIT,2024-01-06 16:39:13,35.25,app,CAM_LOT_LA_02_01
EVT_13947,LOT_SF_03,XE421BF,ENTRY,2024-02-18 08:47:59,,web,CAM_LOT_SF_03_03
EVT_03813,LOT_SF_01,YW121NM,ENTRY,2024-02-06 09:47:33,,app,CAM_LOT_SF_01_01
EVT_11907,LOT_SF_03,KB369BA,ENTRY,2024-01-10 09:21:33,,text,CAM_LOT_SF_03_03
EVT_14713,LOT_SEA_02,WK519TG,ENTRY,2024-01-28 16:53:33,,Web,CAM_LOT_SEA_02_01
EVT_03358,LOT_SEA_01,XJ740RK,EXIT,2024-01-07 19:54:30,33.53,App,CAM_LOT_SEA_01_04
EVT_21434,LOT_LA_02,HZ154DA,EXIT,2024-03-07 11:24:26,18.88,web,CAM_LOT_LA_02_03
EVT_18743,LOT_SF_01,AP068MH,ENTRY,2024-02-24 16:26:44,,web,CAM_LOT_SF_01_02
EVT_10473,LOT_SF_01,DA032GN,ENTRY,2024-01-04 08:04:22,,text,CAM_LOT_SF_01_03
EVT_03583,LOT_LA_02,YZ887RK,ENTRY,2024-03-11 09:42:03,,app,CAM_LOT_LA_02_04
EVT_08574,LOT_LA_01,MY199JC,EXIT,2024-03-15 15:08:43,23.58,app,CAM_LOT_LA_01_01
EVT_02461,LOT_SEA_01,EF579BM,ENTRY,2024-01-15 16:55:40,,app,CAM_LOT_SEA_01_03
EVT_07301,LOT_LA_02,TN289AF,ENTRY,2024-02-29 07:38:04,,app,CAM_LOT_LA_02_04
EVT_21401,LOT_SEA_02,KG098TZ,ENTRY,2024-03-09 12:46:17,,Web,CAM_LOT_SEA_02_03
EVT_04635,LOT_LA_02,PL876BG,ENTRY,2024-01-01 09:18:13,,App,CAM_LOT_LA_02_02
EVT_07813,LOT_SEA_01,HR996LA,ENTRY,2024-02-22 12:46:01,,app,CAM_LOT_SEA_01_02
EVT_11700,LOT_SEA_02,JV058CK,EXIT,2024-03-14 10:30:48,4.27,text,CAM_LOT_SEA_02_02
EVT_19843,LOT_SEA_02,JC616WF,ENTRY,2024-01-04 11:43:02,,web,CAM_LOT_SEA_02_04
EVT_08805,LOT_SEA_01,WG347FY,ENTRY,2024-01-25 15:22:05,,,CAM_LOT_SEA_01_01
EVT_03552,LOT_LA_01,YG391TR,EXIT,2024-03-11 02:15:56,121.93,App,CAM_LOT_LA_01_04
EVT_21451,LOT_LA_02,WY606LZ,ENTRY,2024-01-13 12:35:37,,,CAM_LOT_LA_02_03
EVT_19969,LOT_SF_03,JH519BN,ENTRY,2024-02-22 16:26:54,,app,CAM_LOT_SF_03_03
EVT_14283,LOT_SEA_02,GY521DB,ENTRY,2024-01-10 08:51:44,,web,CAM_LOT_SEA_02_02
EVT_03692,LOT_LA_02,JV058CK,EXIT,2024-02-18 21:10:12,24.41,,CAM_LOT_LA_02_01
EVT_19867,LOT_LA_01,AC372CL,ENTRY,2024-01-10 12:50:35,,app,CAM_LOT_LA_01_03
EVT_24002,LOT_SEA_02,DR123YY,ENTRY,2024-03-17 20:05:18,,app,CAM_LOT_SEA_02_03
EVT_09561,LOT_SF_03,XC998NR,ENTRY,2024-02-25 16:41:02,,Web,CAM_LOT_SF_03_04
EVT_05934,LOT_SF_02,PM650KM,EXIT,2024-01-09 17:11:27,53.93,app,CAM_LOT_SF_02_01
EVT_04884,LOT_SEA_02,KZ858XG,EXIT,2024-01-29 17:48:55,36.31,text,CAM_LOT_SEA_02_04
EVT_02169,LOT_SF_02,AC061TD,ENTRY,2024-02-27 10:47:17,,Web,CAM_LOT_SF_02_01
EVT_09945,LOT_LA_03,KF784WX,ENTRY,2024-02-06 16:33:55,,app,CAM_LOT_LA_03_02
EVT_24456,LOT_LA_03,YX063VM,EXIT,2024-02-15 02:33:57,13.34,app,CAM_LOT_LA_03_03
EVT_13612,LOT_LA_02,HG898UZ,EXIT,2024-03-13 14:12:37,17.34,web,CAM_LOT_LA_02_02
EVT_02887,LOT_SF_02,TX046YU,ENTRY,2024-03-19 13:21:09,,text,CAM_LOT_SF_02_01
EVT_12199,LOT_SF_02,DG858LJ,ENTRY,2024-02-18 11:01:37,,web,CAM_LOT_SF_02_04
EVT_14633,LOT_SF_02,MV059VE,ENTRY,2024-03-21 16:46:18,,Web,CAM_LOT_SF_02_01
EVT_23422,LOT_SEA_01,XX016NN,EXIT,2024-03-10 04:04:16,47.09,App,CAM_LOT_SEA_01_01
EVT_16887,LOT_SEA_02,CY790UB,ENTRY,2024-03-16 14:57:24,,Web,CAM_LOT_SEA_02_02
EVT_19994,LOT_SF_01,NN683YF,EXIT,2024-03-18 16:40:37,35.93,text,CAM_LOT_SF_01_03
EVT_09588,LOT_LA_01,HU505AY,EXIT,2024-01-27 22:31:41,109.39,APP,CAM_LOT_LA_01_02
EVT_14953,LOT_SEA_02,XL067DP,ENTRY,2024-03-04 19:59:48,,app,CAM_LOT_SEA_02_02
EVT_19555,LOT_SF_03,MS790TE,ENTRY,2024-03-04 18:46:29,,App,CAM_LOT_SF_03_02
EVT_16282,LOT_LA_03,RF318XJ,EXIT,2024-01-28 12:56:26,59.48,text,CAM_LOT_LA_03_02
EVT_19958,LOT_SF_03,SB272XR,EXIT,2024-03-24 19:01:43,,text,CAM_LOT_SF_03_01
EVT_09904,LOT_SEA_02,UG388JU,EXIT,2024-01-16 14:18:38,21.11,text,CAM_LOT_SEA_02_02
EVT_05127,LOT_SF_02,YR534JG,ENTRY,2024-01-28 13:00:31,,app,CAM_LOT_SF_02_04
EVT_20494,LOT_LA_03,MB821KZ,EXIT,2024-02-28 16:18:22,14.22,Web,CAM_LOT_LA_03_01
EVT_02574,LOT_LA_02,MW027SD,EXIT,2024-03-16 20:08:36,60.6,app,CAM_LOT_LA_02_04
EVT_07451,LOT_SF_03,WW404GT,ENTRY,2024-02-11 10:05:11,,web,CAM_LOT_SF_03_04
EVT_07284,LOT_LA_02,JN537LL,EXIT,2024-02-25 14:14:39,4.47,app,CAM_LOT_LA_02_03
EVT_14078,LOT_SEA_01,RD827MZ,EXIT,2024-03-13 09:21:51,6.39,web,CAM_LOT_SEA_01_03
EVT_02185,LOT_SEA_01,WZ346LK,ENTRY,2024-01-20 14:10:44,,app,CAM_LOT_SEA_01_03
EVT_15965,LOT_SF_02,TN717SH,ENTRY,2024-02-21 07:58:58,,text,CAM_LOT_SF_02_01
EVT_15626,LOT_SEA_01,YV945CB,EXIT,2024-01-22 11:17:14,12.53,web,CAM_LOT_SEA_01_01
EVT_01074,LOT_LA_01,JA572BE,EXIT,2024-03-23 22:17:31,36.87,App,CAM_LOT_LA_01_01
EVT_08913,LOT_LA_03,UZ388YM,ENTRY,2024-01-06 10:01:41,,App,CAM_LOT_LA_03_03
EVT_05607,LOT_SEA_01,XC570JG,ENTRY,2024-01-21 15:43:12,,APP,CAM_LOT_SEA_01_03
EVT_06835,LOT_SF_03,WP383ZK,ENTRY,2024-03-15 18:10:30,,web,CAM_LOT_SF_03_02
EVT_05198,LOT_SEA_02,JU947NV,EXIT,2024-01-28 20:06:13,24.99,APP,CAM_LOT_SEA_02_04
EVT_11384,LOT_LA_01,LP342ZD,EXIT,2024-02-17 23:44:56,62.53,text,CAM_LOT_LA_01_02
EVT_19581,LOT_SF_01,YS722YB,ENTRY,2024-03-21 07:57:07,,app,CAM_LOT_SF_01_01
EVT_07545,LOT_LA_01,KC608VT,ENTRY,2024-02-10 08:49:46,,App,CAM_LOT_LA_01_03
EVT_00451,LOT_SEA_02,RT189CH,ENTRY,2024-02-28 14:37:06,,web,CAM_LOT_SEA_02_04
EVT_08782,LOT_SEA_02,NC530LD,EXIT,2024-01-06 10:58:39,4.44,text,CAM_LOT_SEA_02_03
EVT_19185,LOT_SEA_01,VM946GP,ENTRY,2024-02-04 12:09:34,,web,CAM_LOT_SEA_01_04
EVT_23316,LOT_SF_03,XD043HE,EXIT,2024-03-27 16:15:53,35.52,web,CAM_LOT_SF_03_01
EVT_12202,LOT_SEA_01,ED458PT,EXIT,2024-03-28 20:37:27,23.88,App,CAM_LOT_SEA_01_04
EVT_12352,LOT_LA_02,HV621TM,EXIT,2024-01-13 18:01:55,22.11,app,CAM_LOT_LA_02_04
EVT_14650,LOT_SEA_01,YK064AG,EXIT,2024-03-17 16:39:17,10.54,,CAM_LOT_SEA_01_02
EVT_19529,LOT_SF_01,KW082RX,ENTRY,2024-03-27 12:58:23,,,CAM_LOT_SF_01_01
EVT_14594,LOT_LA_01,FJ154CM,EXIT,2024-02-12 23:34:54,83.24,web,CAM_LOT_LA_01_04
EVT_14419,LOT_SEA_02,WH040ST,ENTRY,2024-03-03 12:50:44,,app,CAM_LOT_SEA_02_02
EVT_00021,LOT_SF_03,BV521KL,ENTRY,2024-01-14 14:19:54,,App,CAM_LOT_SF_03_02
EVT_01303,LOT_SF_01,PX462UR,ENTRY,2024-03-19 16:46:55,,text,CAM_LOT_SF_01_01
EVT_03815,LOT_SF_01,FA994WV,ENTRY,2024-03-24 11:19:34,,app,CAM_LOT_SF_01_03
EVT_11436,LOT_SEA_02,HM866FY,EXIT,2024-01-28 19:46:47,46.56,app,CAM_LOT_SEA_02_01
EVT_16060,LOT_SEA_01,GM642BU,EXIT,2024-01-24 23:21:39,45.7,,CAM_LOT_SEA_01_02
EVT_21276,LOT_SF_03,WR581RF,EXIT,2024-01-16 08:50:30,18.1,web,CAM_LOT_SF_03_04
EVT_18146,LOT_SF_03,WH933YA,EXIT,2024-01-19 15:39:51,69.94,Web,CAM_LOT_SF_03_03
EVT_18066,LOT_LA_02,YW678JE,EXIT,2024-01-07 11:54:28,10.22,app,CAM_LOT_LA_02_02
EVT_01096,LOT_LA_01,DL814UR,EXIT,2024-01-21 20:44:39,43.77,app,CAM_LOT_LA_01_04
EVT_11512,LOT_SF_03,ST774SA,EXIT,2024-02-03 11:54:39,18.93,App,CAM_LOT_SF_03_03
EVT_20235,LOT_SEA_02,PV392VA,ENTRY,2024-03-12 13:24:58,,Web,CAM_LOT_SEA_02_03
EVT_16013,LOT_SF_01,WP383ZK,ENTRY,2024-02-26 09:12:11,,,CAM_LOT_SF_01_04
EVT_06677,LOT_LA_01,WH734PS,ENTRY,2024-01-06 08:11:10,,APP,CAM_LOT_LA_01_02
EVT_04217,LOT_SF_03,PF202HY,ENTRY,2024-01-25 14:21:11,,text,CAM_LOT_SF_03_02
EVT_02412,LOT_SF_02,MW770GJ,EXIT,2024-03-09 22:43:18,85.42,,CAM_LOT_SF_02_04
EVT_05935,LOT_SEA_02,LU673NX,ENTRY,2024-03-26 09:22:16,,text,CAM_LOT_SEA_02_02
EVT_08980,LOT_SEA_02,EL179BU,EXIT,2024-02-25 17:04:05,20.79,app,CAM_LOT_SEA_02_01
EVT_00377,LOT_SEA_01,FD202DP,ENTRY,2024-01-17 07:15:18,,app,CAM_LOT_SEA_01_01
EVT_02738,LOT_LA_01,XH471ZK,EXIT,2024-03-21 11:19:15,8.87,app,CAM_LOT_LA_01_03
EVT_04663,LOT_SF_03,FR756DU,ENTRY,2024-01-15 10:15:01,,APP,CAM_LOT_SF_03_04
EVT_04171,LOT_SEA_02,SE386MP,ENTRY,2024-02-18 11:13:50,,text,CAM_LOT_SEA_02_04
EVT_17876,LOT_SEA_01,RR038UN,EXIT,2024-02-01 13:02:51,30.03,Web,CAM_LOT_SEA_01_04
EVT_20268,LOT_SEA_01,DB801HF,EXIT,2024-01-09 23:01:06,44.77,App,CAM_LOT_SEA_01_03
EVT_06002,LOT_SEA_01,RU284DA,EXIT,2024-01-28 18:04:11,24.25,app,CAM_LOT_SEA_01_03
EVT_11737,LOT_LA_02,RC812VZ,ENTRY,2024-03-27 12:34:19,,app,CAM_LOT_LA_02_04
EVT_20875,LOT_SF_01,AK765TY,ENTRY,2024-02-23 08:17:50,,app,CAM_LOT_SF_01_04
EVT_04761,LOT_SF_02,JC616WF,ENTRY,2024-03-16 12:26:37,,app,CAM_LOT_SF_02_02
EVT_13334,LOT_SF_02,FU434SW,EXIT,2024-03-23 16:32:56,24.74,app,CAM_LOT_SF_02_02
EVT_16215,LOT_SF_01,UB598EP,ENTRY,2024-02-25 11:09:49,,Web,CAM_LOT_SF_01_03
EVT_13609,LOT_SEA_01,GA098DT,ENTRY,2024-02-28 07:20:14,,app,CAM_LOT_SEA_01_01
EVT_15784,LOT_LA_01,EA826XS,EXIT,2024-02-04 22:29:35,91.63,Web,CAM_LOT_LA_01_04
EVT_10424,LOT_SF_02,VE424HS,EXIT,2024-01-06 16:49:35,,app,CAM_LOT_SF_02_01
EVT_23177,LOT_SF_01,RR038UN,ENTRY,2024-02-02 17:15:33,,app,CAM_LOT_SF_01_01
EVT_04609,LOT_LA_03,EV662SX,ENTRY,2024-01-07 13:55:47,,text,CAM_LOT_LA_03_02
EVT_01025,LOT_SF_02,ZV299ML,ENTRY,2024-03-10 14:20:36,,app,CAM_LOT_SF_02_01
EVT_00504,LOT_SF_02,ED046WP,EXIT,2024-01-28 16:20:53,43.66,app,CAM_LOT_SF_02_01
EVT_17245,LOT_LA_01,PP882NH,ENTRY,2024-01-21 13:13:58,,web,CAM_LOT_LA_01_03
EVT_02101,LOT_SEA_02,EA826XS,ENTRY,2024-01-20 10:53:29,,text,CAM_LOT_SEA_02_03
EVT_11096,LOT_SF_03,FE656RN,EXIT,2024-02-19 02:37:13,87.26,app,CAM_LOT_SF_03_03
